UID,accession,collection_date,isolation_source,isolation_taxa,city,county,state,latitude,longitude,pseudo_lat,pseudo_lat,data_source
,KX547471,21-Sep-2005,,Aedes sp.,,Erie,New York,,,,,PRJNA262930
,KX547470,09-Aug-2007,,Corvus brachyrhynchos,,Erie,New York,,,,,PRJNA262930
,KX547469,19-Sep-2002,,Sciurus carolinensis,,Schenectady,New York,,,,,PRJNA262930
,KX547468,11-Aug-2003,,Culex sp.,,Columbia,New York,,,,,PRJNA262930
,KX547467,12-Sep-2013,,Culiseta sp.,,Onondaga,New York,,,,,PRJNA262930
,KX547466,19-Aug-2003,,Culex sp.,,Suffolk,New York,,,,,PRJNA262930
,KX547465,31-Jul-2013,,Culex sp.,,Westchester,New York,,,,,PRJNA262930
,KX547464,16-Sep-2009,,Culex sp.,,Weschester,New York,,,,,PRJNA262930
,KX547463,25-Aug-2009,,Culex sp.,,Suffolk,New York,,,,,PRJNA262930
,KX547462,29-Jun-2004,,Corvus brachyrhynchos,,Jefferson,New York,,,,,PRJNA262930
,KX547461,08-Aug-2005,,Cardinalis cardinalis,,Suffolk,New York,,,,,PRJNA262930
,KX547460,06-Aug-2013,,Aedes sp.,,Madison,New York,,,,,PRJNA262930
,KX547459,26-Sep-2002,,Corvus brachyrhynchos,,Wyoming,New York,,,,,PRJNA262930
,KX547458,22-Sep-2003,,Cyanocitta cristata,,Suffolk,New York,,,,,PRJNA262930
,KX547457,27-Jul-2011,,Culex sp.,,Nassau,New York,,,,,PRJNA262930
,KX547456,31-Jul-2012,,Culex sp.,,Chautauqua,New York,,,,,PRJNA262930
,KX547455,13-Aug-2003,,Culex sp.,,Nassau,New York,,,,,PRJNA262930
,KX547454,03-Aug-2004,,Culex sp.,,Suffolk,New York,,,,,PRJNA262930
,KX547453,29-Jul-2008,,Turdus migratorius,,Suffolk,New York,,,,,PRJNA262930
,KX547452,14-Aug-2007,,Corvus brachyrhynchos,,Nassau,New York,,,,,PRJNA262930
,KX547451,22-Aug-2006,,Corvus brachyrhynchos,,Monroe,New York,,,,,PRJNA262930
,KX547450,05-Aug-2015,,Culiseta sp.,,Onondaga,New York,,,,,PRJNA262930
,KX547449,06-Jul-2011,,Culex sp.,,Suffolk,New York,,,,,PRJNA262930
,KX547448,29-Aug-2002,,Corvus brachyrhynchos,,Cayuga,New York,,,,,PRJNA262930
,KX547447,08-Aug-2007,,Corvus brachyrhynchos,,Suffolk,New York,,,,,PRJNA262930
,KX547446,07-Jun-2004,,Corvus brachyrhynchos,,Wyoming,New York,,,,,PRJNA262930
,KX547445,17-Sep-2014,,Culex sp.,,Suffolk,New York,,,,,PRJNA262930
,KX547444,06-Aug-2002,,Culex sp.,,Niagara,New York,,,,,PRJNA262930
,KX547443,17-Aug-2012,,Aedes sp.,,Nassau,New York,,,,,PRJNA262930
,KX547442,31-Aug-2010,,Culex sp.,,Westchester,New York,,,,,PRJNA262930
,KX547441,16-Aug-2005,,Passer domesticus,,Suffolk,New York,,,,,PRJNA262930
,KX547440,19-Aug-2008,,Corvus brachyrhynchos,,Suffolk,New York,,,,,PRJNA262930
,KX547439,14-Aug-2003,,Corvus brachyrhynchos,,Niagara,New York,,,,,PRJNA262930
,KX547438,10-Aug-2011,,Culex sp.,,Onondaga,New York,,,,,PRJNA262930
,KX547437,29-Jul-2003,,Culex sp.,,Suffolk,New York,,,,,PRJNA262930
,KX547436,08-Sep-2008,,Culex sp.,,Erie,New York,,,,,PRJNA262930
,KX547435,18-Aug-2006,,Corvus brachyrhynchos,,Kings,New York,,,,,PRJNA262930
,KX547434,11-Sep-2009,,Culex sp.,,Rockland,New York,,,,,PRJNA262930
,KX547433,31-Aug-2006,,Zenaida macroura,,Richmond,New York,,,,,PRJNA262930
,KX547432,10-Aug-2006,,Coquillettidia sp.,,Suffolk,New York,,,,,PRJNA262930
,KX547431,17-Aug-2006,,Culex sp.,,Niagara,New York,,,,,PRJNA262930
,KX547430,18-Aug-2009,,Culiseta sp.,,Onondaga,New York,,,,,PRJNA262930
,KX547429,15-Aug-2002,,Anopheles sp.,,Westchester,New York,,,,,PRJNA262930
,KX547428,26-Sep-2002,,Culiseta sp.,,Onondaga,New York,,,,,PRJNA262930
,KX547427,22-Jun-2004,,Cyanocitta cristata,,Chautauqua,New York,,,,,PRJNA262930
,KX547426,08-Aug-2007,,Culex sp.,,Onondaga,New York,,,,,PRJNA262930
,KX547425,09-Sep-2009,,Cyanocitta cristata,,Suffolk,New York,,,,,PRJNA262930
,KX547424,10-Jul-2007,,Corvus brachyrhynchos,,Onondaga,New York,,,,,PRJNA262930
,KX547423,16-Jul-2004,,Quiscalus quiscula,,Richmond,New York,,,,,PRJNA262930
